timestamp,rater,conv_id,Respect,Support,Education,Planning,Engagement,Communication,notes
2026-03-03T16:44:09.105Z,Pat,152,3,3,3,2,2,2,
2026-03-03T16:44:57.631Z,Pat,20,4,4,3,3,4,4,
2026-03-03T16:45:23.968Z,Pat,189,2,3,3,3,3,2,
2026-03-03T16:46:28.981Z,Pat,105,3,2,3,2,2,2,
2026-03-03T16:47:57.050Z,Pat,43,3,4,3,4,4,3,
2026-03-03T16:48:24.995Z,Pat,104,3,3,4,4,3,3,
2026-03-03T16:48:57.231Z,Pat,153,3,3,4,3,2,3,
2026-03-03T16:49:40.319Z,Pat,3,3,3,3,2,3,3,
2026-03-03T16:54:41.357Z,Pat,181,3,2,3,3,2,3,
2026-03-03T16:55:54.761Z,Pat,126,4,3,3,3,4,4,
2026-03-03T16:57:56.881Z,Pat,9,4,4,4,5,4,4,
2026-03-03T16:58:32.105Z,Pat,46,3,4,3,3,3,3,
2026-03-03T16:59:06.694Z,Pat,122,3,4,3,3,4,3,
2026-03-03T17:01:53.727Z,Pat,176,3,2,3,4,3,3,
2026-03-03T17:02:23.664Z,Pat,133,3,3,3,3,2,3,
2026-03-03T17:04:31.279Z,Pat,159,3,3,3,3,2,3,
2026-03-03T17:06:17.337Z,Pat,161,3,3,3,2,3,3,
2026-03-03T17:07:36.889Z,Pat,28,4,4,3,4,3,4,
2026-03-03T17:08:12.652Z,Pat,48,4,4,3,3,3,3,
2026-03-03T17:08:29.385Z,Pat,82,3,3,3,3,3,3,
2026-03-03T17:08:45.655Z,Pat,16,3,3,3,3,3,3,
2026-03-03T17:09:12.075Z,Pat,64,3,4,3,3,3,4,
2026-03-03T17:10:05.127Z,Pat,37,3,3,3,3,2,3,
2026-03-03T17:10:39.104Z,Pat,120,4,4,2,4,4,4,
2026-03-03T18:07:30.856Z,Pat,174,3,2,3,3,2,3,
2026-03-03T18:07:53.677Z,Pat,97,3,3,3,3,2,3,
2026-03-03T18:08:12.419Z,Pat,76,3,3,3,3,3,2,
2026-03-03T18:08:35.615Z,Pat,162,3,3,2,3,3,2,
2026-03-03T18:09:15.205Z,Pat,199,4,3,3,3,3,4,
2026-03-03T18:11:27.734Z,Pat,15,3,4,3,3,4,3,
2026-03-03T18:12:49.647Z,Pat,165,4,4,4,4,5,4,
2026-03-03T18:13:01.738Z,Pat,91,3,3,3,3,3,3,
2026-03-03T18:13:12.936Z,Pat,118,3,3,3,3,3,3,
2026-03-03T18:13:34.306Z,Pat,92,3,3,3,3,2,2,
2026-03-03T18:14:18.394Z,Pat,186,3,4,4,3,4,4,
2026-03-03T18:14:35.216Z,Pat,137,3,4,5,5,3,3,
2026-03-03T18:15:34.038Z,Pat,158,3,3,4,3,4,3,
2026-03-03T18:19:23.763Z,Pat,160,3,3,3,4,4,4,
2026-03-03T18:20:10.156Z,Pat,59,4,3,3,4,3,3,
2026-03-03T18:24:29.062Z,Pat,131,4,3,4,3,4,3,
2026-03-03T18:24:49.927Z,Pat,157,3,3,3,3,3,3,
2026-03-03T18:25:31.565Z,Pat,169,3,3,3,3,4,3,
2026-03-03T18:25:58.578Z,Pat,192,3,3,2,3,2,2,
